1,2011-01-01
2,2011-02-01
3,2011-03-01
4,2011-04-01
5,2011-05-01
6,2011-06-01
7,2011-07-01
8,2011-08-01
9,2011-09-01
10,2011-10-01
11,2011-11-01
12,2011-12-01
13,2012-01-01
14,2012-02-01
15,2012-03-01
16,2012-04-01
17,2012-05-01
18,2012-06-01
19,2012-07-01
20,2012-08-01
21,2012-09-01
22,2012-10-01
23,2012-11-01
24,2012-12-01
25,2013-01-01
26,2013-02-01
27,2013-03-01
28,2013-04-01
29,2013-05-01
30,2013-06-01
31,2013-07-01
32,2013-08-01
33,2013-09-01
34,2013-10-01
35,2013-11-01
36,2013-12-01
37,2014-01-01
38,2014-02-01
39,2014-03-01
40,2014-04-01
41,2014-05-01
42,2014-06-01
43,2014-07-01
44,2014-08-01
45,2014-09-01
46,2014-10-01
47,2014-11-01
48,2014-12-01
49,2015-01-01
50,2015-02-01
51,2015-03-01
52,2015-04-01
53,2015-05-01
54,2015-06-01
55,2015-07-01
56,2015-08-01
57,2015-09-01
58,2015-10-01
59,2015-11-01
60,2015-12-01
61,2016-01-01
62,2016-02-01
63,2016-03-01
64,2016-04-01
65,2016-05-01
66,2016-06-01
67,2016-07-01
68,2016-08-01
69,2016-09-01
70,2016-10-01
71,2016-11-01
72,2016-12-01
73,2017-01-01
74,2017-02-01
75,2017-03-01
76,2017-04-01
77,2017-05-01
78,2017-06-01
79,2017-07-01
80,2017-08-01
81,2017-09-01
82,2017-10-01
83,2017-11-01
84,2017-12-01
85,2018-01-01
86,2018-02-01
87,2018-03-01
88,2018-04-01
89,2018-05-01
90,2018-06-01
91,2018-07-01
92,2018-08-01
93,2018-09-01
94,2018-10-01
95,2018-11-01
96,2018-12-01
97,2019-01-01
